TRADEDATE,AAPL,AMZN,BABA,DIS,EBAY,F,FB,GOOGL,INTC,KO,MCD,MSFT,NFLX,NKE,SBUX,T,TSLA,^GSPC
2015-01-02,27.332500457763672,308.5199890136719,103.5999984741211,93.75,23.657407760620117,15.359999656677246,78.44999694824219,529.5499877929688,36.36000061035156,42.13999938964844,93.26000213623047,46.7599983215332,49.84857177734375,47.51499938964844,40.720001220703125,33.869998931884766,43.86199951171875,2058.199951171875
2015-01-05,26.5625,302.19000244140625,101.0,92.37999725341797,23.459596633911133,14.760000228881836,77.19000244140625,519.4600219726562,35.95000076293945,42.13999938964844,92.2300033569336,46.33000183105469,47.31142807006836,46.75,39.939998626708984,33.54999923706055,42.018001556396484,2020.5799560546875
2015-01-06,26.565000534057617,295.2900085449219,103.31999969482422,91.88999938964844,23.156566619873047,14.619999885559082,76.1500015258789,506.6400146484375,35.279998779296875,42.459999084472656,92.4000015258789,45.650001525878906,46.50143051147461,46.474998474121094,39.6150016784668,33.599998474121094,42.25600051879883,2002.6099853515625
2015-01-07,26.9375,298.4200134277344,102.12999725341797,92.83000183105469,23.11868667602539,15.039999961853027,76.1500015258789,505.1499938964844,36.02000045776367,42.9900016784668,94.01000213623047,46.22999954223633,46.74285888671875,47.435001373291016,40.59000015258789,33.16999816894531,42.189998626708984,2025.9000244140625
2015-01-08,27.97249984741211,300.4599914550781,105.02999877929688,93.79000091552734,23.7415828704834,15.420000076293945,78.18000030517578,506.9100036621094,36.689998626708984,43.5099983215332,94.36000061035156,47.59000015258789,47.779998779296875,48.529998779296875,41.244998931884766,33.5,42.124000549316406,2062.139892578125
2015-01-09,28.002500534057617,296.92999267578125,103.0199966430664,94.25,23.413299560546875,15.210000038146973,77.73999786376953,500.7200012207031,36.7599983215332,43.029998779296875,93.20999908447266,47.189998626708984,47.04142761230469,47.994998931884766,39.89500045776367,33.400001525878906,41.332000732421875,2044.81005859375
2015-01-12,27.3125,291.4100036621094,101.62000274658203,94.45999908447266,23.232322692871094,15.220000267028809,76.72000122070312,497.05999755859375,36.599998474121094,42.63999938964844,93.01000213623047,46.599998474121094,45.547142028808594,47.93000030517578,40.1150016784668,33.4900016784668,40.44200134277344,2028.260009765625
2015-01-13,27.55500030517578,294.739990234375,100.7699966430664,95.19000244140625,23.202861785888672,15.210000038146973,76.44999694824219,501.79998779296875,36.5,42.630001068115234,92.83000183105469,46.36000061035156,46.255714416503906,47.505001068115234,40.435001373291016,33.4900016784668,40.849998474121094,2023.030029296875
2015-01-14,27.450000762939453,293.2699890136719,99.58000183105469,94.2300033569336,22.739898681640625,15.109999656677246,76.27999877929688,505.92999267578125,36.349998474121094,42.560001373291016,91.54000091552734,45.959999084472656,46.31999969482422,46.85499954223633,40.209999084472656,33.33000183105469,38.53799819946289,2011.27001953125
2015-01-15,26.704999923706055,286.95001220703125,96.30999755859375,94.3499984741211,22.314815521240234,14.859999656677246,74.05000305175781,504.010009765625,36.189998626708984,42.380001068115234,91.37999725341797,45.47999954223633,46.25143051147461,46.404998779296875,39.790000915527344,33.2599983215332,38.374000549316406,1992.6700439453125
2015-01-16,26.497499465942383,290.739990234375,96.88999938964844,95.18000030517578,22.58417510986328,15.020000457763672,75.18000030517578,510.4599914550781,36.45000076293945,42.529998779296875,91.48999786376953,46.2400016784668,48.191429138183594,46.494998931884766,40.30500030517578,33.79999923706055,38.61399841308594,2019.4200439453125
2015-01-20,27.18000030517578,289.44000244140625,100.04000091552734,94.73999786376953,22.592592239379883,15.010000228881836,76.23999786376953,509.94000244140625,36.09000015258789,43.15999984741211,90.80000305175781,46.38999938964844,49.82857131958008,46.80500030517578,40.61000061035156,33.95000076293945,38.38600158691406,2022.550048828125
2015-01-21,27.387500762939453,297.25,103.29000091552734,94.16999816894531,22.46632957458496,14.970000267028809,76.73999786376953,520.3900146484375,36.47999954223633,43.36000061035156,90.33999633789062,45.91999816894531,58.468570709228516,46.755001068115234,40.64500045776367,34.0,39.31399917602539,2032.1199951171875
2015-01-22,28.100000381469727,310.32000732421875,104.0,95.1500015258789,24.053030014038086,15.029999732971191,77.6500015258789,537.2999877929688,36.90999984741211,43.779998779296875,90.88999938964844,47.130001068115234,61.20571517944336,47.92499923706055,41.369998931884766,33.790000915527344,40.32400131225586,2063.14990234375
2015-01-23,28.2450008392334,312.3900146484375,103.11000061035156,94.72000122070312,23.88888931274414,14.90999984741211,77.83000183105469,541.9500122070312,36.45000076293945,43.310001373291016,89.55999755859375,47.18000030517578,62.494285583496094,48.08000183105469,44.11000061035156,33.369998931884766,40.257999420166016,2051.820068359375
2015-01-26,28.274999618530273,309.6600036621094,103.98999786376953,94.97000122070312,23.594276428222656,15.079999923706055,77.5,536.719970703125,35.810001373291016,43.0,90.66999816894531,47.0099983215332,63.79428482055664,48.17499923706055,44.060001373291016,33.18000030517578,41.310001373291016,2057.090087890625
2015-01-27,27.28499984741211,306.75,102.94000244140625,93.97000122070312,23.017677307128906,14.850000381469727,75.77999877929688,521.1900024414062,34.189998626708984,42.38999938964844,89.56999969482422,42.65999984741211,64.88143157958984,47.25,44.16999816894531,32.810001373291016,41.19599914550781,2029.550048828125
2015-01-28,28.827499389648438,303.9100036621094,98.44999694824219,92.66999816894531,22.65993309020996,14.460000038146973,76.23999786376953,512.4299926757812,33.779998779296875,41.91999816894531,88.77999877929688,41.189998626708984,63.20857238769531,46.654998779296875,43.78499984741211,32.68000030517578,39.874000549316406,2002.1600341796875
